id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	brand	gtin	mpn	color	material	pattern	size	gender	age_group	tax	shipping	shipping_weight	excluded_destination	expiration_date
42	Creatures 8ft Teahupoo Leash	The Creature of Leisure 8ft Teahupoo leash is named after the most demanding wave in the world. A thicker, tougher surfboard leash featuring a double brass swivel, over mould DNA connection, key pocket and detachable railsaver and the new DNA stretch technology as standard. Designed for normal use in bigger 6 - 8 ft (2 - 2.5 metre) surf where security is essential. This surfboard leash is 2.4 metres (8 ft) long with 8mm Urethane cord. Patended quick release tab Rail saver High quality urethane tubing Precision moulded fittings Patented DNA joint for maximum strength Key pocket Unique double bearing swivel ** NOTE Image is for illustration purposes, colour may vary. Call us on 01243 672292 for full details. **	Sporting Goods > Water Sports > Surfing > Surfboard Leashes	Hardware > Surfboard Leashes	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=42&cPath=7	http://www.witteringsurfshop.com/images/teahupoo8ft.jpg	new	in stock	25.99	Creatures Of Leisure		42							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
47	FCS Longboard Box Adapter Fin	The FCS longboard box adapter is designed to allow you to put FCS centre in your 2+1 set up to allow you to run a thruster. Ideal for retro shapes, eggs or mini-mals, 2+1 boards and even 2+1 longboards. Allows you to ride a thruster instead of 2+1 fin set up. Will fit any centre fin box	Sporting Goods > Water Sports > Surfing > Surfboard Fins	Hardware > Surfboard Fins	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=47&cPath=9	http://www.witteringsurfshop.com/images/box_adapter.jpg	new	in stock	24.95	FCS		47							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		1 kg		2012-12-25
49	Keypod Car Key Security	Everyone's trying to get us stressed about crime these days but the fact is if you still leave your keys on the wheelarch, under the car or on the beach you are asking for trouble. Try taking your electronic key out in the water, we can promise you it won't work afterwards! The keypod is a simple, robust, inexpensive solution to the problem that's now been successfully put through it's paces by thousands of surfers. Improved security for car keys Simple, quick to use, portable FOUR digit combination Holds all known car keys/immobilisers Foam backing to prevent scratching surfaces Improved shackle strength	Sporting Goods > Water Sports > Surfing	Hardware > Surfing Essentials	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=49&cPath=11	http://www.witteringsurfshop.com/images/keypod.jpg	new	in stock	19.99	Northcore		49							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
56	Ocean & Earth Double Soft Roof Racks	Product Description These well made Ocean & Earth soft racks are designed to safely attach surfboards to almost any car with four doors or will work through the front doors and hatch at a push. The straps holding the rack to the car AND the straps holding the boards to the rack are both integral so you don't need to buy extra straps. Double roof racks Soft, flexible and secure Easy fitting and removing Holds up to 6 shortboards Holds up to 2 shortboards and 2 longboards includes reuseable storage bag	Sporting Goods > Water Sports > Surfing	Hardware > Car Accessories	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=56&cPath=14	http://www.witteringsurfshop.com/images/double_rax.jpg	new	in stock	49.99	Ocean and Earth		56							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
59	Ocean & Earth 3.5 Metre Tie Downs	Ocean & Earth's Tie Down straps have 25mm webbing with secure quick action cam buckle and buckle protection pad. Ideal for transporting surfboards, skis and snowboards on a roof rack. Be confident your boards are secured safely and buy Ocean and Earth. 3.5 metres long Quick action buckle Ideal for surfboards	Sporting Goods > Water Sports > Surfing	Hardware > Surfing Essentials	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=59&cPath=11	http://www.witteringsurfshop.com/images/tiedowns.gif	new	in stock	14.99	Ocean and Earth		59							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
60	Ocean & Earth 2.5 Metre Tie Downs	Ocean & Earth's Tie Down straps have 25mm webbing with secure quick action cam buckle and buckle protection pad. Ideal for transporting surfboards, skis and snowboards on a roof rack. Be confident your boards are secured safely and buy Ocean and Earth. 2.5 metres long Quick action buckle Ideal for surfboards	Sporting Goods > Water Sports > Surfing	Hardware > Surfing Essentials	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=60&cPath=11	http://www.witteringsurfshop.com/images/tiedowns.gif	new	in stock	13.99	Ocean and Earth		60							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
61	Solarez Mini Travel Repair Kit	Solarez Pro mini Travel Ding Repair Kit is your must have travelling partner. It has everything you need to repair your board even a box to keep it in! Dual cure resin Sandpaper Complete instructions	Sporting Goods > Water Sports > Surfing	Hardware > Surfboard Repair	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=61&cPath=10	http://www.witteringsurfshop.com/images/minitravel.jpg	new	in stock	4.99	Solarez		61							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		1 kg		2012-12-25
65	FCS Premium Double Soft Roof Racks	Product Description If you hate the look of permanent racks on your car then these are the sickest things ever! Easy to put on, super strong and durable you'll be flying up the coast with more room for your luggage in the car! Double roof racks Holds 1-6 shortboards Holds 1-4 longboards Square non-rollong pads Heavy duty 38mm webbing Tough metal locking components Use in conjunction with tie downs for extra safety and security	Sporting Goods > Water Sports > Surfing	Hardware > Surfing Essentials	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=65&cPath=11	http://www.witteringsurfshop.com/images/fcsdouble.gif	new	in stock	45.95	FCS		65							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
66	Far King Cold Water Surfboard Wax	Far King surf wax has been developed to be the best Far King surf wax available on the planet. A lifetime of surfing, over 20 years making great surf waxes and a passion for developing the best tractions on the planet is all part of the Far King commitment. As surfers most of us spend our lives waiting for the best surf. When it comes you can rely on Far King great wax. Perfect autumn and winter wax Australian made Soft wax	Sporting Goods > Water Sports > Surfing	Hardware > Surfing Essentials	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=66&cPath=11	http://www.witteringsurfshop.com/images/farkingcold.jpg	new	in stock	1.30	Far King		66							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		1 kg		2012-12-25
69	Gorilla Fishtail Black Tail Pad	The Gorilla Fish Tail tail pad is a 2 piece archless pad with no kicktail. This high performance pad is ideal for fish tail boards. 2 piece tail pad Archless Slice wedge for a softer more traditional feel. Diamond III groove traction system.	Sporting Goods > Water Sports > Surfing	Hardware > Surfboard Grip	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=69&cPath=8	http://www.witteringsurfshop.com/images/GORILLAFISHBLACK.gif	new	in stock	32.99	Gorilla Grip		69							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
84	Xcel Wetsuits Infiniti Round Toe 5mm Wetsuit Boots	The Xcel 5mm Infiniti tek round toe boot features the all new Bamboo lining provides an extra layer of insulation between you and the elements.The Infinti boots have an arch strap and a pull tab on the back to help get them on and off in the cold. They also run above your ankle to guarantee a good overlap with the wetsuit. Bamboo barrier lining Round toe UltraSoft neoprene Fusion seams Double glued and blindstitched Pressure bonded seams Size Guide PLEASE NOTE We will send UK size, but boxes are marked in US (one size above) The boots will feel quite tight at your normal shoe size, but a snug fit is important. However, like all neoprene, they will stretch and loosen a little over time.	Sporting Goods > Water Sports > Wetsuits > Wetsuit Accessories	Wetsuits > Wetsuit Boots	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=84&cPath=52	http://www.witteringsurfshop.com/images/roundtoe.jpg	new	in stock	44.95	Xcel Wetsuits		84							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:,AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
93	Lok Box Speed Dialer Quad Black Surfboard Fins	The Lokbox Speed Dialer quad fin is great for all quad fin fish's, the back fins lift the tail making the board lose while the front fins give lots of drive. Quad fin set Front Fins: Base: 4.25" Height: 4.5" Rear fins:Base: 3.5" Height: 4.75" Black	Sporting Goods > Water Sports > Surfing > Surfboard Fins	Hardware > Surfboard Fins	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=93&cPath=9	http://www.witteringsurfshop.com/images/speeddiallerturboblack.gif	new	in stock	95.95	Lok Box Fins		93							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
121	Xcel Wetsuits Hooded Polypro Rash Vest	The Xcel polypro rash vest works like a toasty thermal layer under your suit. The integrated hood and outer collar creates an excellent seal to prevent flushing and the polypro shirt adds extra warmth to your winter suit. Titanium glideskin lined hood with peak and elasicated face seal Outer collar to prevent flushing Polypro works like thermals. Note on Sizes Although a polypro will stretch we've found the sizes come up fairly small. If in doubt or between sizes we suggest you consider the larger option. As always we'll happily refund or replace if it's not 100% perfect.	Sporting Goods > Water Sports > Wetsuits > Wetsuit Tops	Wetsuits > Rash Vests & Poncho's	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=121&cPath=55	http://www.witteringsurfshop.com/images/polyprohooded.jpg	new	in stock	49.99	Xcel Wetsuits		121							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:,AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
145	Creature 6ft 7" Travel Boardbag 10mm Slim Fit	Creatures of Leisure 10mm travel covers are world-renowned for their strength, toughness and durability. The Creatures of Leisure travel boardbags are also slim fit, which is 20% smaller than standard boardbags, making them lighter and easier to carry when on your next trip. Going away? Get your board there in one piece with this bag featuring 10mm closed cell padding, super tough 600 polyester fabric, carry handle with adjustable shoulder straps, jam-protected off-rail zippers and reinforced nose patch. Slim fit-smaller, lighter and a better fit. 10mm closed cell padding Super tough 600 polyester fabric Reinforced nose patch Off-rail zippers Stash strap Heat reflective Available in sizes 7'6" - 10'0" call for more details ** NOTE Image is for illustration purposes, colour may vary. Call us on 01243 672292 for full details. **	Sporting Goods > Water Sports > Surfing > Surfboard Cases	Hardware > Surfboard bags	http://www.witteringsurfshop.com/index.php?main_page=product_info&products_id=145&cPath=6	http://www.witteringsurfshop.com/images/travel%20cover%20short2.png	new	in stock	74.99	Creatures Of Leisure		145							AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:,AT::20.00:,BE::20.00:,BG::20.00:,CY::20.00:,CZ::20.00:,DK::20.00:,EE::20.00:,FI::20.00:,FR::20.00:,DE::20.00:,GR::20.00:,HU::20.00:,IE::20.00:,IT::20.00:,LV::20.00:,LT::20.00:,NL::20.00:,PL::20.00:,PT::20.00:,ES::20.00:,SE::20.00:,GB::20.00:,GB::20.00:		2 kg		2012-12-25
